nfe,time,best_f,best_P,instance,seed,num_units,num_sensors
100,42,0.35,"[<ptreeopt.tree.PTree object at 0x155514d90730>
 <ptreeopt.tree.PTree object at 0x155514d908b0>
 <ptreeopt.tree.PTree object at 0x15551629b430>
 <ptreeopt.tree.PTree object at 0x15551629b970>
 <ptreeopt.tree.PTree object at 0x15551629b370>
 <ptreeopt.tree.PTree object at 0x15551629baf0>
 <ptreeopt.tree.PTree object at 0x15551629ba00>
 <ptreeopt.tree.PTree object at 0x155516a52be0>
 <ptreeopt.tree.PTree object at 0x155516a521c0>
 <ptreeopt.tree.PTree object at 0x155516a523d0>]",6,0,10,3
200,81,0.33,"[<ptreeopt.tree.PTree object at 0x155528784f70>
 <ptreeopt.tree.PTree object at 0x155528784460>
 <ptreeopt.tree.PTree object at 0x155528784880>
 <ptreeopt.tree.PTree object at 0x155528784eb0>
 <ptreeopt.tree.PTree object at 0x155520a291c0>
 <ptreeopt.tree.PTree object at 0x1555162db460>
 <ptreeopt.tree.PTree object at 0x1555162db400>
 <ptreeopt.tree.PTree object at 0x1555162db640>
 <ptreeopt.tree.PTree object at 0x1555181c9610>
 <ptreeopt.tree.PTree object at 0x1555181c9a90>]",6,0,10,3
300,123,0.33,"[<ptreeopt.tree.PTree object at 0x155528784f70>
 <ptreeopt.tree.PTree object at 0x155528784460>
 <ptreeopt.tree.PTree object at 0x155528784880>
 <ptreeopt.tree.PTree object at 0x155528784eb0>
 <ptreeopt.tree.PTree object at 0x155520a291c0>
 <ptreeopt.tree.PTree object at 0x1555162db460>
 <ptreeopt.tree.PTree object at 0x1555162db400>
 <ptreeopt.tree.PTree object at 0x1555162db640>
 <ptreeopt.tree.PTree object at 0x1555181c9610>
 <ptreeopt.tree.PTree object at 0x1555181c9a90>]",6,0,10,3
400,162,0.23,"[<ptreeopt.tree.PTree object at 0x1555151f20d0>
 <ptreeopt.tree.PTree object at 0x1555151f2430>
 <ptreeopt.tree.PTree object at 0x1555151f2a30>
 <ptreeopt.tree.PTree object at 0x1555151f2cd0>
 <ptreeopt.tree.PTree object at 0x1555151f2100>
 <ptreeopt.tree.PTree object at 0x1555151f2a90>
 <ptreeopt.tree.PTree object at 0x1555206e7ee0>
 <ptreeopt.tree.PTree object at 0x1555151f2880>
 <ptreeopt.tree.PTree object at 0x1555151f21c0>
 <ptreeopt.tree.PTree object at 0x1555151f22b0>]",6,0,10,3
500,201,0.23,"[<ptreeopt.tree.PTree object at 0x1555151f20d0>
 <ptreeopt.tree.PTree object at 0x1555151f2430>
 <ptreeopt.tree.PTree object at 0x1555151f2a30>
 <ptreeopt.tree.PTree object at 0x1555151f2cd0>
 <ptreeopt.tree.PTree object at 0x1555151f2100>
 <ptreeopt.tree.PTree object at 0x1555151f2a90>
 <ptreeopt.tree.PTree object at 0x1555206e7ee0>
 <ptreeopt.tree.PTree object at 0x1555151f2880>
 <ptreeopt.tree.PTree object at 0x1555151f21c0>
 <ptreeopt.tree.PTree object at 0x1555151f22b0>]",6,0,10,3
600,238,0.23,"[<ptreeopt.tree.PTree object at 0x1555151f20d0>
 <ptreeopt.tree.PTree object at 0x1555151f2430>
 <ptreeopt.tree.PTree object at 0x1555151f2a30>
 <ptreeopt.tree.PTree object at 0x1555151f2cd0>
 <ptreeopt.tree.PTree object at 0x1555151f2100>
 <ptreeopt.tree.PTree object at 0x1555151f2a90>
 <ptreeopt.tree.PTree object at 0x1555206e7ee0>
 <ptreeopt.tree.PTree object at 0x1555151f2880>
 <ptreeopt.tree.PTree object at 0x1555151f21c0>
 <ptreeopt.tree.PTree object at 0x1555151f22b0>]",6,0,10,3
700,277,0.21,"[<ptreeopt.tree.PTree object at 0x155520306fd0>
 <ptreeopt.tree.PTree object at 0x1555203062b0>
 <ptreeopt.tree.PTree object at 0x155520306190>
 <ptreeopt.tree.PTree object at 0x155514c8e190>
 <ptreeopt.tree.PTree object at 0x155514c8ecd0>
 <ptreeopt.tree.PTree object at 0x155516007820>
 <ptreeopt.tree.PTree object at 0x155516007dc0>
 <ptreeopt.tree.PTree object at 0x1555160a7d00>
 <ptreeopt.tree.PTree object at 0x1555160a7280>
 <ptreeopt.tree.PTree object at 0x1555160a7eb0>]",6,0,10,3
800,315,0.21,"[<ptreeopt.tree.PTree object at 0x155520306fd0>
 <ptreeopt.tree.PTree object at 0x1555203062b0>
 <ptreeopt.tree.PTree object at 0x155520306190>
 <ptreeopt.tree.PTree object at 0x155514c8e190>
 <ptreeopt.tree.PTree object at 0x155514c8ecd0>
 <ptreeopt.tree.PTree object at 0x155516007820>
 <ptreeopt.tree.PTree object at 0x155516007dc0>
 <ptreeopt.tree.PTree object at 0x1555160a7d00>
 <ptreeopt.tree.PTree object at 0x1555160a7280>
 <ptreeopt.tree.PTree object at 0x1555160a7eb0>]",6,0,10,3
900,355,0.21,"[<ptreeopt.tree.PTree object at 0x155520306fd0>
 <ptreeopt.tree.PTree object at 0x1555203062b0>
 <ptreeopt.tree.PTree object at 0x155520306190>
 <ptreeopt.tree.PTree object at 0x155514c8e190>
 <ptreeopt.tree.PTree object at 0x155514c8ecd0>
 <ptreeopt.tree.PTree object at 0x155516007820>
 <ptreeopt.tree.PTree object at 0x155516007dc0>
 <ptreeopt.tree.PTree object at 0x1555160a7d00>
 <ptreeopt.tree.PTree object at 0x1555160a7280>
 <ptreeopt.tree.PTree object at 0x1555160a7eb0>]",6,0,10,3
1000,395,0.21,"[<ptreeopt.tree.PTree object at 0x155520306fd0>
 <ptreeopt.tree.PTree object at 0x1555203062b0>
 <ptreeopt.tree.PTree object at 0x155520306190>
 <ptreeopt.tree.PTree object at 0x155514c8e190>
 <ptreeopt.tree.PTree object at 0x155514c8ecd0>
 <ptreeopt.tree.PTree object at 0x155516007820>
 <ptreeopt.tree.PTree object at 0x155516007dc0>
 <ptreeopt.tree.PTree object at 0x1555160a7d00>
 <ptreeopt.tree.PTree object at 0x1555160a7280>
 <ptreeopt.tree.PTree object at 0x1555160a7eb0>]",6,0,10,3
