nfe,time,best_f,best_P,instance,seed,num_units,num_sensors
100,24,0.69,"[<ptreeopt.tree.PTree object at 0x155514dc2d90>
 <ptreeopt.tree.PTree object at 0x155514dc28b0>
 <ptreeopt.tree.PTree object at 0x155514dc2670>]",0,0,3,3
200,50,0.66,"[<ptreeopt.tree.PTree object at 0x15551626d340>
 <ptreeopt.tree.PTree object at 0x15551626d430>
 <ptreeopt.tree.PTree object at 0x15551626d610>]",0,0,3,3
300,76,0.66,"[<ptreeopt.tree.PTree object at 0x15551626d340>
 <ptreeopt.tree.PTree object at 0x15551626d430>
 <ptreeopt.tree.PTree object at 0x15551626d610>]",0,0,3,3
400,102,0.66,"[<ptreeopt.tree.PTree object at 0x15551626d340>
 <ptreeopt.tree.PTree object at 0x15551626d430>
 <ptreeopt.tree.PTree object at 0x15551626d610>]",0,0,3,3
500,126,0.6,"[<ptreeopt.tree.PTree object at 0x155515b67fa0>
 <ptreeopt.tree.PTree object at 0x155515b67640>
 <ptreeopt.tree.PTree object at 0x155515b67400>]",0,0,3,3
600,151,0.6,"[<ptreeopt.tree.PTree object at 0x155515b67fa0>
 <ptreeopt.tree.PTree object at 0x155515b67640>
 <ptreeopt.tree.PTree object at 0x155515b67400>]",0,0,3,3
700,174,0.6,"[<ptreeopt.tree.PTree object at 0x155515b67fa0>
 <ptreeopt.tree.PTree object at 0x155515b67640>
 <ptreeopt.tree.PTree object at 0x155515b67400>]",0,0,3,3
800,200,0.6,"[<ptreeopt.tree.PTree object at 0x155515b67fa0>
 <ptreeopt.tree.PTree object at 0x155515b67640>
 <ptreeopt.tree.PTree object at 0x155515b67400>]",0,0,3,3
900,226,0.6,"[<ptreeopt.tree.PTree object at 0x155515b67fa0>
 <ptreeopt.tree.PTree object at 0x155515b67640>
 <ptreeopt.tree.PTree object at 0x155515b67400>]",0,0,3,3
1000,252,0.6,"[<ptreeopt.tree.PTree object at 0x155515b67fa0>
 <ptreeopt.tree.PTree object at 0x155515b67640>
 <ptreeopt.tree.PTree object at 0x155515b67400>]",0,0,3,3
1100,278,0.6,"[<ptreeopt.tree.PTree object at 0x155515b67fa0>
 <ptreeopt.tree.PTree object at 0x155515b67640>
 <ptreeopt.tree.PTree object at 0x155515b67400>]",0,0,3,3
1200,307,0.6,"[<ptreeopt.tree.PTree object at 0x155515b67fa0>
 <ptreeopt.tree.PTree object at 0x155515b67640>
 <ptreeopt.tree.PTree object at 0x155515b67400>]",0,0,3,3
1300,334,0.6,"[<ptreeopt.tree.PTree object at 0x155515b67fa0>
 <ptreeopt.tree.PTree object at 0x155515b67640>
 <ptreeopt.tree.PTree object at 0x155515b67400>]",0,0,3,3
1400,359,0.6,"[<ptreeopt.tree.PTree object at 0x155515b67fa0>
 <ptreeopt.tree.PTree object at 0x155515b67640>
 <ptreeopt.tree.PTree object at 0x155515b67400>]",0,0,3,3
1500,387,0.6,"[<ptreeopt.tree.PTree object at 0x155515b67fa0>
 <ptreeopt.tree.PTree object at 0x155515b67640>
 <ptreeopt.tree.PTree object at 0x155515b67400>]",0,0,3,3
1600,414,0.6,"[<ptreeopt.tree.PTree object at 0x155515b67fa0>
 <ptreeopt.tree.PTree object at 0x155515b67640>
 <ptreeopt.tree.PTree object at 0x155515b67400>]",0,0,3,3
1700,440,0.6,"[<ptreeopt.tree.PTree object at 0x155515b67fa0>
 <ptreeopt.tree.PTree object at 0x155515b67640>
 <ptreeopt.tree.PTree object at 0x155515b67400>]",0,0,3,3
1800,466,0.6,"[<ptreeopt.tree.PTree object at 0x155515b67fa0>
 <ptreeopt.tree.PTree object at 0x155515b67640>
 <ptreeopt.tree.PTree object at 0x155515b67400>]",0,0,3,3
1900,491,0.6,"[<ptreeopt.tree.PTree object at 0x155515b67fa0>
 <ptreeopt.tree.PTree object at 0x155515b67640>
 <ptreeopt.tree.PTree object at 0x155515b67400>]",0,0,3,3
2000,513,0.6,"[<ptreeopt.tree.PTree object at 0x155515b67fa0>
 <ptreeopt.tree.PTree object at 0x155515b67640>
 <ptreeopt.tree.PTree object at 0x155515b67400>]",0,0,3,3
2100,537,0.6,"[<ptreeopt.tree.PTree object at 0x155515b67fa0>
 <ptreeopt.tree.PTree object at 0x155515b67640>
 <ptreeopt.tree.PTree object at 0x155515b67400>]",0,0,3,3
2200,563,0.6,"[<ptreeopt.tree.PTree object at 0x155515b67fa0>
 <ptreeopt.tree.PTree object at 0x155515b67640>
 <ptreeopt.tree.PTree object at 0x155515b67400>]",0,0,3,3
2300,587,0.6,"[<ptreeopt.tree.PTree object at 0x155515b67fa0>
 <ptreeopt.tree.PTree object at 0x155515b67640>
 <ptreeopt.tree.PTree object at 0x155515b67400>]",0,0,3,3
