nfe,time,best_f,best_P,instance,seed,num_units,num_sensors
100,11,0.5,"[<ptreeopt.tree.PTree object at 0x155517b8da30>
 <ptreeopt.tree.PTree object at 0x155517b8dbe0>
 <ptreeopt.tree.PTree object at 0x155517b8d970>]",1,0,3,3
200,22,0.25,"[<ptreeopt.tree.PTree object at 0x1555167d5970>
 <ptreeopt.tree.PTree object at 0x1555167d58b0>
 <ptreeopt.tree.PTree object at 0x1555167d59a0>]",1,0,3,3
300,33,0.25,"[<ptreeopt.tree.PTree object at 0x1555167d5970>
 <ptreeopt.tree.PTree object at 0x1555167d58b0>
 <ptreeopt.tree.PTree object at 0x1555167d59a0>]",1,0,3,3
400,44,0.25,"[<ptreeopt.tree.PTree object at 0x1555167d5970>
 <ptreeopt.tree.PTree object at 0x1555167d58b0>
 <ptreeopt.tree.PTree object at 0x1555167d59a0>]",1,0,3,3
500,54,0.25,"[<ptreeopt.tree.PTree object at 0x1555167d5970>
 <ptreeopt.tree.PTree object at 0x1555167d58b0>
 <ptreeopt.tree.PTree object at 0x1555167d59a0>]",1,0,3,3
600,65,0.25,"[<ptreeopt.tree.PTree object at 0x1555167d5970>
 <ptreeopt.tree.PTree object at 0x1555167d58b0>
 <ptreeopt.tree.PTree object at 0x1555167d59a0>]",1,0,3,3
700,76,0.25,"[<ptreeopt.tree.PTree object at 0x1555167d5970>
 <ptreeopt.tree.PTree object at 0x1555167d58b0>
 <ptreeopt.tree.PTree object at 0x1555167d59a0>]",1,0,3,3
800,88,0.25,"[<ptreeopt.tree.PTree object at 0x1555167d5970>
 <ptreeopt.tree.PTree object at 0x1555167d58b0>
 <ptreeopt.tree.PTree object at 0x1555167d59a0>]",1,0,3,3
900,99,0.25,"[<ptreeopt.tree.PTree object at 0x1555167d5970>
 <ptreeopt.tree.PTree object at 0x1555167d58b0>
 <ptreeopt.tree.PTree object at 0x1555167d59a0>]",1,0,3,3
1000,112,0.25,"[<ptreeopt.tree.PTree object at 0x1555167d5970>
 <ptreeopt.tree.PTree object at 0x1555167d58b0>
 <ptreeopt.tree.PTree object at 0x1555167d59a0>]",1,0,3,3
1100,122,0.25,"[<ptreeopt.tree.PTree object at 0x1555167d5970>
 <ptreeopt.tree.PTree object at 0x1555167d58b0>
 <ptreeopt.tree.PTree object at 0x1555167d59a0>]",1,0,3,3
1200,132,0.25,"[<ptreeopt.tree.PTree object at 0x1555167d5970>
 <ptreeopt.tree.PTree object at 0x1555167d58b0>
 <ptreeopt.tree.PTree object at 0x1555167d59a0>]",1,0,3,3
1300,143,0.25,"[<ptreeopt.tree.PTree object at 0x1555167d5970>
 <ptreeopt.tree.PTree object at 0x1555167d58b0>
 <ptreeopt.tree.PTree object at 0x1555167d59a0>]",1,0,3,3
1400,153,0.25,"[<ptreeopt.tree.PTree object at 0x1555167d5970>
 <ptreeopt.tree.PTree object at 0x1555167d58b0>
 <ptreeopt.tree.PTree object at 0x1555167d59a0>]",1,0,3,3
1500,163,0.25,"[<ptreeopt.tree.PTree object at 0x1555167d5970>
 <ptreeopt.tree.PTree object at 0x1555167d58b0>
 <ptreeopt.tree.PTree object at 0x1555167d59a0>]",1,0,3,3
1600,174,0.25,"[<ptreeopt.tree.PTree object at 0x1555167d5970>
 <ptreeopt.tree.PTree object at 0x1555167d58b0>
 <ptreeopt.tree.PTree object at 0x1555167d59a0>]",1,0,3,3
1700,184,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
1800,194,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
1900,204,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
2000,215,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
2100,225,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
2200,235,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
2300,245,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
2400,256,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
2500,266,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
2600,276,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
2700,286,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
2800,296,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
2900,307,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
3000,318,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
3100,329,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
3200,339,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
3300,350,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
3400,360,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
3500,371,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
3600,382,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
3700,393,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
3800,403,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
3900,414,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
4000,424,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
4100,434,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
4200,444,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
4300,454,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
4400,463,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
4500,473,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
4600,483,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
4700,493,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
4800,503,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
4900,513,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
5000,523,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
5100,533,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
5200,543,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
5300,554,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
5400,564,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
5500,574,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
5600,583,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
5700,593,0.04,"[<ptreeopt.tree.PTree object at 0x1555177fb5b0>
 <ptreeopt.tree.PTree object at 0x1555177fb250>
 <ptreeopt.tree.PTree object at 0x1555177fb3d0>]",1,0,3,3
