nfe,time,best_f,best_P,instance,seed,num_units,num_sensors
100,8,0.5,"[<ptreeopt.tree.PTree object at 0x155516726340>
 <ptreeopt.tree.PTree object at 0x155516726c40>
 <ptreeopt.tree.PTree object at 0x155517fb9370>]",7,0,3,10
200,16,0.5,"[<ptreeopt.tree.PTree object at 0x155516726340>
 <ptreeopt.tree.PTree object at 0x155516726c40>
 <ptreeopt.tree.PTree object at 0x155517fb9370>]",7,0,3,10
300,24,0.28,"[<ptreeopt.tree.PTree object at 0x15551623f850>
 <ptreeopt.tree.PTree object at 0x15551623f160>
 <ptreeopt.tree.PTree object at 0x15551623f760>]",7,0,3,10
400,32,0.28,"[<ptreeopt.tree.PTree object at 0x15551623f850>
 <ptreeopt.tree.PTree object at 0x15551623f160>
 <ptreeopt.tree.PTree object at 0x15551623f760>]",7,0,3,10
500,41,0.28,"[<ptreeopt.tree.PTree object at 0x15551623f850>
 <ptreeopt.tree.PTree object at 0x15551623f160>
 <ptreeopt.tree.PTree object at 0x15551623f760>]",7,0,3,10
600,50,0.28,"[<ptreeopt.tree.PTree object at 0x15551623f850>
 <ptreeopt.tree.PTree object at 0x15551623f160>
 <ptreeopt.tree.PTree object at 0x15551623f760>]",7,0,3,10
700,58,0.28,"[<ptreeopt.tree.PTree object at 0x15551623f850>
 <ptreeopt.tree.PTree object at 0x15551623f160>
 <ptreeopt.tree.PTree object at 0x15551623f760>]",7,0,3,10
800,67,0.28,"[<ptreeopt.tree.PTree object at 0x15551623f850>
 <ptreeopt.tree.PTree object at 0x15551623f160>
 <ptreeopt.tree.PTree object at 0x15551623f760>]",7,0,3,10
900,75,0.28,"[<ptreeopt.tree.PTree object at 0x15551623f850>
 <ptreeopt.tree.PTree object at 0x15551623f160>
 <ptreeopt.tree.PTree object at 0x15551623f760>]",7,0,3,10
1000,84,0.28,"[<ptreeopt.tree.PTree object at 0x15551623f850>
 <ptreeopt.tree.PTree object at 0x15551623f160>
 <ptreeopt.tree.PTree object at 0x15551623f760>]",7,0,3,10
1100,92,0.28,"[<ptreeopt.tree.PTree object at 0x15551623f850>
 <ptreeopt.tree.PTree object at 0x15551623f160>
 <ptreeopt.tree.PTree object at 0x15551623f760>]",7,0,3,10
