nfe,time,best_f,best_P,instance,seed,num_units,num_sensors
100,49,0.41,"[<ptreeopt.tree.PTree object at 0x15551787a970>
 <ptreeopt.tree.PTree object at 0x15551787a910>
 <ptreeopt.tree.PTree object at 0x15551787a370>
 <ptreeopt.tree.PTree object at 0x15551787aa00>
 <ptreeopt.tree.PTree object at 0x15551787aeb0>
 <ptreeopt.tree.PTree object at 0x15551709fdc0>
 <ptreeopt.tree.PTree object at 0x1555155cbfd0>
 <ptreeopt.tree.PTree object at 0x1555155cbc70>
 <ptreeopt.tree.PTree object at 0x1555155cbb80>
 <ptreeopt.tree.PTree object at 0x1555155cb130>]",3,0,10,3
200,96,0.4,"[<ptreeopt.tree.PTree object at 0x15552011a040>
 <ptreeopt.tree.PTree object at 0x15552011a340>
 <ptreeopt.tree.PTree object at 0x15552011a0a0>
 <ptreeopt.tree.PTree object at 0x15552011a490>
 <ptreeopt.tree.PTree object at 0x15552011a760>
 <ptreeopt.tree.PTree object at 0x15552011a400>
 <ptreeopt.tree.PTree object at 0x1555200ae5e0>
 <ptreeopt.tree.PTree object at 0x1555200ae0d0>
 <ptreeopt.tree.PTree object at 0x155520514550>
 <ptreeopt.tree.PTree object at 0x1555205149a0>]",3,0,10,3
300,144,0.35,"[<ptreeopt.tree.PTree object at 0x155520918fd0>
 <ptreeopt.tree.PTree object at 0x155520918580>
 <ptreeopt.tree.PTree object at 0x155520918d60>
 <ptreeopt.tree.PTree object at 0x155520918be0>
 <ptreeopt.tree.PTree object at 0x155520918dc0>
 <ptreeopt.tree.PTree object at 0x155517090640>
 <ptreeopt.tree.PTree object at 0x1555170906d0>
 <ptreeopt.tree.PTree object at 0x1555170903a0>
 <ptreeopt.tree.PTree object at 0x1555200ab9d0>
 <ptreeopt.tree.PTree object at 0x1555200ab790>]",3,0,10,3
400,191,0.35,"[<ptreeopt.tree.PTree object at 0x155520918fd0>
 <ptreeopt.tree.PTree object at 0x155520918580>
 <ptreeopt.tree.PTree object at 0x155520918d60>
 <ptreeopt.tree.PTree object at 0x155520918be0>
 <ptreeopt.tree.PTree object at 0x155520918dc0>
 <ptreeopt.tree.PTree object at 0x155517090640>
 <ptreeopt.tree.PTree object at 0x1555170906d0>
 <ptreeopt.tree.PTree object at 0x1555170903a0>
 <ptreeopt.tree.PTree object at 0x1555200ab9d0>
 <ptreeopt.tree.PTree object at 0x1555200ab790>]",3,0,10,3
500,238,0.35,"[<ptreeopt.tree.PTree object at 0x155520918fd0>
 <ptreeopt.tree.PTree object at 0x155520918580>
 <ptreeopt.tree.PTree object at 0x155520918d60>
 <ptreeopt.tree.PTree object at 0x155520918be0>
 <ptreeopt.tree.PTree object at 0x155520918dc0>
 <ptreeopt.tree.PTree object at 0x155517090640>
 <ptreeopt.tree.PTree object at 0x1555170906d0>
 <ptreeopt.tree.PTree object at 0x1555170903a0>
 <ptreeopt.tree.PTree object at 0x1555200ab9d0>
 <ptreeopt.tree.PTree object at 0x1555200ab790>]",3,0,10,3
600,284,0.35,"[<ptreeopt.tree.PTree object at 0x155520918fd0>
 <ptreeopt.tree.PTree object at 0x155520918580>
 <ptreeopt.tree.PTree object at 0x155520918d60>
 <ptreeopt.tree.PTree object at 0x155520918be0>
 <ptreeopt.tree.PTree object at 0x155520918dc0>
 <ptreeopt.tree.PTree object at 0x155517090640>
 <ptreeopt.tree.PTree object at 0x1555170906d0>
 <ptreeopt.tree.PTree object at 0x1555170903a0>
 <ptreeopt.tree.PTree object at 0x1555200ab9d0>
 <ptreeopt.tree.PTree object at 0x1555200ab790>]",3,0,10,3
700,328,0.35,"[<ptreeopt.tree.PTree object at 0x155520918fd0>
 <ptreeopt.tree.PTree object at 0x155520918580>
 <ptreeopt.tree.PTree object at 0x155520918d60>
 <ptreeopt.tree.PTree object at 0x155520918be0>
 <ptreeopt.tree.PTree object at 0x155520918dc0>
 <ptreeopt.tree.PTree object at 0x155517090640>
 <ptreeopt.tree.PTree object at 0x1555170906d0>
 <ptreeopt.tree.PTree object at 0x1555170903a0>
 <ptreeopt.tree.PTree object at 0x1555200ab9d0>
 <ptreeopt.tree.PTree object at 0x1555200ab790>]",3,0,10,3
800,374,0.2,"[<ptreeopt.tree.PTree object at 0x15552050e6a0>
 <ptreeopt.tree.PTree object at 0x15552050e130>
 <ptreeopt.tree.PTree object at 0x15552050e2b0>
 <ptreeopt.tree.PTree object at 0x15552050ea30>
 <ptreeopt.tree.PTree object at 0x15552050ec40>
 <ptreeopt.tree.PTree object at 0x15552050e610>
 <ptreeopt.tree.PTree object at 0x155520918820>
 <ptreeopt.tree.PTree object at 0x155520918610>
 <ptreeopt.tree.PTree object at 0x155517f36160>
 <ptreeopt.tree.PTree object at 0x155517f369d0>]",3,0,10,3
900,421,0.2,"[<ptreeopt.tree.PTree object at 0x15552050e6a0>
 <ptreeopt.tree.PTree object at 0x15552050e130>
 <ptreeopt.tree.PTree object at 0x15552050e2b0>
 <ptreeopt.tree.PTree object at 0x15552050ea30>
 <ptreeopt.tree.PTree object at 0x15552050ec40>
 <ptreeopt.tree.PTree object at 0x15552050e610>
 <ptreeopt.tree.PTree object at 0x155520918820>
 <ptreeopt.tree.PTree object at 0x155520918610>
 <ptreeopt.tree.PTree object at 0x155517f36160>
 <ptreeopt.tree.PTree object at 0x155517f369d0>]",3,0,10,3
1000,467,0.2,"[<ptreeopt.tree.PTree object at 0x15552050e6a0>
 <ptreeopt.tree.PTree object at 0x15552050e130>
 <ptreeopt.tree.PTree object at 0x15552050e2b0>
 <ptreeopt.tree.PTree object at 0x15552050ea30>
 <ptreeopt.tree.PTree object at 0x15552050ec40>
 <ptreeopt.tree.PTree object at 0x15552050e610>
 <ptreeopt.tree.PTree object at 0x155520918820>
 <ptreeopt.tree.PTree object at 0x155520918610>
 <ptreeopt.tree.PTree object at 0x155517f36160>
 <ptreeopt.tree.PTree object at 0x155517f369d0>]",3,0,10,3
1100,513,0.2,"[<ptreeopt.tree.PTree object at 0x15552050e6a0>
 <ptreeopt.tree.PTree object at 0x15552050e130>
 <ptreeopt.tree.PTree object at 0x15552050e2b0>
 <ptreeopt.tree.PTree object at 0x15552050ea30>
 <ptreeopt.tree.PTree object at 0x15552050ec40>
 <ptreeopt.tree.PTree object at 0x15552050e610>
 <ptreeopt.tree.PTree object at 0x155520918820>
 <ptreeopt.tree.PTree object at 0x155520918610>
 <ptreeopt.tree.PTree object at 0x155517f36160>
 <ptreeopt.tree.PTree object at 0x155517f369d0>]",3,0,10,3
