nfe,time,best_f,best_P,instance,seed,num_units,num_sensors
100,27,0.71,"[<ptreeopt.tree.PTree object at 0x155514eb1d90>
 <ptreeopt.tree.PTree object at 0x155514eb18e0>
 <ptreeopt.tree.PTree object at 0x155514eb1670>]",1,0,3,3
200,56,0.71,"[<ptreeopt.tree.PTree object at 0x155514eb1d90>
 <ptreeopt.tree.PTree object at 0x155514eb18e0>
 <ptreeopt.tree.PTree object at 0x155514eb1670>]",1,0,3,3
300,83,0.71,"[<ptreeopt.tree.PTree object at 0x155514eb1d90>
 <ptreeopt.tree.PTree object at 0x155514eb18e0>
 <ptreeopt.tree.PTree object at 0x155514eb1670>]",1,0,3,3
400,108,0.71,"[<ptreeopt.tree.PTree object at 0x155514eb1d90>
 <ptreeopt.tree.PTree object at 0x155514eb18e0>
 <ptreeopt.tree.PTree object at 0x155514eb1670>]",1,0,3,3
500,136,0.71,"[<ptreeopt.tree.PTree object at 0x155514eb1d90>
 <ptreeopt.tree.PTree object at 0x155514eb18e0>
 <ptreeopt.tree.PTree object at 0x155514eb1670>]",1,0,3,3
600,161,0.71,"[<ptreeopt.tree.PTree object at 0x155514eb1d90>
 <ptreeopt.tree.PTree object at 0x155514eb18e0>
 <ptreeopt.tree.PTree object at 0x155514eb1670>]",1,0,3,3
700,186,0.7,"[<ptreeopt.tree.PTree object at 0x155515690880>
 <ptreeopt.tree.PTree object at 0x155515690040>
 <ptreeopt.tree.PTree object at 0x155515690250>]",1,0,3,3
800,211,0.7,"[<ptreeopt.tree.PTree object at 0x155515690880>
 <ptreeopt.tree.PTree object at 0x155515690040>
 <ptreeopt.tree.PTree object at 0x155515690250>]",1,0,3,3
900,237,0.7,"[<ptreeopt.tree.PTree object at 0x155515690880>
 <ptreeopt.tree.PTree object at 0x155515690040>
 <ptreeopt.tree.PTree object at 0x155515690250>]",1,0,3,3
1000,262,0.7,"[<ptreeopt.tree.PTree object at 0x155515690880>
 <ptreeopt.tree.PTree object at 0x155515690040>
 <ptreeopt.tree.PTree object at 0x155515690250>]",1,0,3,3
1100,289,0.7,"[<ptreeopt.tree.PTree object at 0x155515690880>
 <ptreeopt.tree.PTree object at 0x155515690040>
 <ptreeopt.tree.PTree object at 0x155515690250>]",1,0,3,3
1200,318,0.7,"[<ptreeopt.tree.PTree object at 0x155515690880>
 <ptreeopt.tree.PTree object at 0x155515690040>
 <ptreeopt.tree.PTree object at 0x155515690250>]",1,0,3,3
1300,344,0.7,"[<ptreeopt.tree.PTree object at 0x155515690880>
 <ptreeopt.tree.PTree object at 0x155515690040>
 <ptreeopt.tree.PTree object at 0x155515690250>]",1,0,3,3
1400,370,0.7,"[<ptreeopt.tree.PTree object at 0x155515690880>
 <ptreeopt.tree.PTree object at 0x155515690040>
 <ptreeopt.tree.PTree object at 0x155515690250>]",1,0,3,3
1500,395,0.7,"[<ptreeopt.tree.PTree object at 0x155515690880>
 <ptreeopt.tree.PTree object at 0x155515690040>
 <ptreeopt.tree.PTree object at 0x155515690250>]",1,0,3,3
1600,422,0.7,"[<ptreeopt.tree.PTree object at 0x155515690880>
 <ptreeopt.tree.PTree object at 0x155515690040>
 <ptreeopt.tree.PTree object at 0x155515690250>]",1,0,3,3
1700,448,0.7,"[<ptreeopt.tree.PTree object at 0x155515690880>
 <ptreeopt.tree.PTree object at 0x155515690040>
 <ptreeopt.tree.PTree object at 0x155515690250>]",1,0,3,3
