nfe,time,best_f,best_P,instance,seed,num_units,num_sensors
100,48,0.26,"[<ptreeopt.tree.PTree object at 0x15551667fe20>
 <ptreeopt.tree.PTree object at 0x15551667ffd0>
 <ptreeopt.tree.PTree object at 0x15551667ff40>
 <ptreeopt.tree.PTree object at 0x15551667f670>
 <ptreeopt.tree.PTree object at 0x15551667f5b0>
 <ptreeopt.tree.PTree object at 0x155520d28af0>
 <ptreeopt.tree.PTree object at 0x155520d28070>
 <ptreeopt.tree.PTree object at 0x155520d28280>
 <ptreeopt.tree.PTree object at 0x155520d889a0>
 <ptreeopt.tree.PTree object at 0x155517ba1190>]",6,0,10,10
200,96,0.1,"[<ptreeopt.tree.PTree object at 0x1555170590d0>
 <ptreeopt.tree.PTree object at 0x155517059190>
 <ptreeopt.tree.PTree object at 0x155517059070>
 <ptreeopt.tree.PTree object at 0x155517076970>
 <ptreeopt.tree.PTree object at 0x155517076d90>
 <ptreeopt.tree.PTree object at 0x155517076220>
 <ptreeopt.tree.PTree object at 0x155517076e80>
 <ptreeopt.tree.PTree object at 0x155517076610>
 <ptreeopt.tree.PTree object at 0x1555170766d0>
 <ptreeopt.tree.PTree object at 0x1555178c31f0>]",6,0,10,10
300,144,0.1,"[<ptreeopt.tree.PTree object at 0x1555170590d0>
 <ptreeopt.tree.PTree object at 0x155517059190>
 <ptreeopt.tree.PTree object at 0x155517059070>
 <ptreeopt.tree.PTree object at 0x155517076970>
 <ptreeopt.tree.PTree object at 0x155517076d90>
 <ptreeopt.tree.PTree object at 0x155517076220>
 <ptreeopt.tree.PTree object at 0x155517076e80>
 <ptreeopt.tree.PTree object at 0x155517076610>
 <ptreeopt.tree.PTree object at 0x1555170766d0>
 <ptreeopt.tree.PTree object at 0x1555178c31f0>]",6,0,10,10
400,191,0.1,"[<ptreeopt.tree.PTree object at 0x1555170590d0>
 <ptreeopt.tree.PTree object at 0x155517059190>
 <ptreeopt.tree.PTree object at 0x155517059070>
 <ptreeopt.tree.PTree object at 0x155517076970>
 <ptreeopt.tree.PTree object at 0x155517076d90>
 <ptreeopt.tree.PTree object at 0x155517076220>
 <ptreeopt.tree.PTree object at 0x155517076e80>
 <ptreeopt.tree.PTree object at 0x155517076610>
 <ptreeopt.tree.PTree object at 0x1555170766d0>
 <ptreeopt.tree.PTree object at 0x1555178c31f0>]",6,0,10,10
500,241,0.1,"[<ptreeopt.tree.PTree object at 0x1555170590d0>
 <ptreeopt.tree.PTree object at 0x155517059190>
 <ptreeopt.tree.PTree object at 0x155517059070>
 <ptreeopt.tree.PTree object at 0x155517076970>
 <ptreeopt.tree.PTree object at 0x155517076d90>
 <ptreeopt.tree.PTree object at 0x155517076220>
 <ptreeopt.tree.PTree object at 0x155517076e80>
 <ptreeopt.tree.PTree object at 0x155517076610>
 <ptreeopt.tree.PTree object at 0x1555170766d0>
 <ptreeopt.tree.PTree object at 0x1555178c31f0>]",6,0,10,10
600,291,0.1,"[<ptreeopt.tree.PTree object at 0x1555170590d0>
 <ptreeopt.tree.PTree object at 0x155517059190>
 <ptreeopt.tree.PTree object at 0x155517059070>
 <ptreeopt.tree.PTree object at 0x155517076970>
 <ptreeopt.tree.PTree object at 0x155517076d90>
 <ptreeopt.tree.PTree object at 0x155517076220>
 <ptreeopt.tree.PTree object at 0x155517076e80>
 <ptreeopt.tree.PTree object at 0x155517076610>
 <ptreeopt.tree.PTree object at 0x1555170766d0>
 <ptreeopt.tree.PTree object at 0x1555178c31f0>]",6,0,10,10
700,341,0.1,"[<ptreeopt.tree.PTree object at 0x1555170590d0>
 <ptreeopt.tree.PTree object at 0x155517059190>
 <ptreeopt.tree.PTree object at 0x155517059070>
 <ptreeopt.tree.PTree object at 0x155517076970>
 <ptreeopt.tree.PTree object at 0x155517076d90>
 <ptreeopt.tree.PTree object at 0x155517076220>
 <ptreeopt.tree.PTree object at 0x155517076e80>
 <ptreeopt.tree.PTree object at 0x155517076610>
 <ptreeopt.tree.PTree object at 0x1555170766d0>
 <ptreeopt.tree.PTree object at 0x1555178c31f0>]",6,0,10,10
800,390,0.1,"[<ptreeopt.tree.PTree object at 0x1555170590d0>
 <ptreeopt.tree.PTree object at 0x155517059190>
 <ptreeopt.tree.PTree object at 0x155517059070>
 <ptreeopt.tree.PTree object at 0x155517076970>
 <ptreeopt.tree.PTree object at 0x155517076d90>
 <ptreeopt.tree.PTree object at 0x155517076220>
 <ptreeopt.tree.PTree object at 0x155517076e80>
 <ptreeopt.tree.PTree object at 0x155517076610>
 <ptreeopt.tree.PTree object at 0x1555170766d0>
 <ptreeopt.tree.PTree object at 0x1555178c31f0>]",6,0,10,10
900,440,0.07,"[<ptreeopt.tree.PTree object at 0x155517a97d90>
 <ptreeopt.tree.PTree object at 0x155517a974c0>
 <ptreeopt.tree.PTree object at 0x155517a97520>
 <ptreeopt.tree.PTree object at 0x155517a97400>
 <ptreeopt.tree.PTree object at 0x155517a97040>
 <ptreeopt.tree.PTree object at 0x155517a971f0>
 <ptreeopt.tree.PTree object at 0x155517a97820>
 <ptreeopt.tree.PTree object at 0x155517a97df0>
 <ptreeopt.tree.PTree object at 0x155517a97130>
 <ptreeopt.tree.PTree object at 0x155528101700>]",6,0,10,10
1000,491,0.07,"[<ptreeopt.tree.PTree object at 0x155517a97d90>
 <ptreeopt.tree.PTree object at 0x155517a974c0>
 <ptreeopt.tree.PTree object at 0x155517a97520>
 <ptreeopt.tree.PTree object at 0x155517a97400>
 <ptreeopt.tree.PTree object at 0x155517a97040>
 <ptreeopt.tree.PTree object at 0x155517a971f0>
 <ptreeopt.tree.PTree object at 0x155517a97820>
 <ptreeopt.tree.PTree object at 0x155517a97df0>
 <ptreeopt.tree.PTree object at 0x155517a97130>
 <ptreeopt.tree.PTree object at 0x155528101700>]",6,0,10,10
