nfe,time,best_f,best_P,instance,seed,manhattan_diam,num_units,num_sensors
100,0,0.85,"[<ptreeopt.tree.PTree object at 0x1555281357c0>
 <ptreeopt.tree.PTree object at 0x1555281352b0>
 <ptreeopt.tree.PTree object at 0x155528135250>]",7,0,10,3,10
200,1,0.83,"[<ptreeopt.tree.PTree object at 0x155528501430>
 <ptreeopt.tree.PTree object at 0x155528501d90>
 <ptreeopt.tree.PTree object at 0x155528501910>]",7,0,10,3,10
300,1,0.83,"[<ptreeopt.tree.PTree object at 0x155528501430>
 <ptreeopt.tree.PTree object at 0x155528501d90>
 <ptreeopt.tree.PTree object at 0x155528501910>]",7,0,10,3,10
400,2,0.82,"[<ptreeopt.tree.PTree object at 0x1555283f1790>
 <ptreeopt.tree.PTree object at 0x1555283f1fd0>
 <ptreeopt.tree.PTree object at 0x1555283f1d60>]",7,0,10,3,10
500,3,0.82,"[<ptreeopt.tree.PTree object at 0x1555283f1790>
 <ptreeopt.tree.PTree object at 0x1555283f1fd0>
 <ptreeopt.tree.PTree object at 0x1555283f1d60>]",7,0,10,3,10
600,3,0.82,"[<ptreeopt.tree.PTree object at 0x1555283f1790>
 <ptreeopt.tree.PTree object at 0x1555283f1fd0>
 <ptreeopt.tree.PTree object at 0x1555283f1d60>]",7,0,10,3,10
700,4,0.82,"[<ptreeopt.tree.PTree object at 0x1555283f1790>
 <ptreeopt.tree.PTree object at 0x1555283f1fd0>
 <ptreeopt.tree.PTree object at 0x1555283f1d60>]",7,0,10,3,10
800,4,0.82,"[<ptreeopt.tree.PTree object at 0x1555283f1790>
 <ptreeopt.tree.PTree object at 0x1555283f1fd0>
 <ptreeopt.tree.PTree object at 0x1555283f1d60>]",7,0,10,3,10
900,5,0.8,"[<ptreeopt.tree.PTree object at 0x15552821a700>
 <ptreeopt.tree.PTree object at 0x15552821a970>
 <ptreeopt.tree.PTree object at 0x15552821aa30>]",7,0,10,3,10
1000,6,0.8,"[<ptreeopt.tree.PTree object at 0x15552821a700>
 <ptreeopt.tree.PTree object at 0x15552821a970>
 <ptreeopt.tree.PTree object at 0x15552821aa30>]",7,0,10,3,10
1100,6,0.8,"[<ptreeopt.tree.PTree object at 0x15552821a700>
 <ptreeopt.tree.PTree object at 0x15552821a970>
 <ptreeopt.tree.PTree object at 0x15552821aa30>]",7,0,10,3,10
1200,7,0.8,"[<ptreeopt.tree.PTree object at 0x15552821a700>
 <ptreeopt.tree.PTree object at 0x15552821a970>
 <ptreeopt.tree.PTree object at 0x15552821aa30>]",7,0,10,3,10
1300,7,0.8,"[<ptreeopt.tree.PTree object at 0x15552821a700>
 <ptreeopt.tree.PTree object at 0x15552821a970>
 <ptreeopt.tree.PTree object at 0x15552821aa30>]",7,0,10,3,10
1400,8,0.8,"[<ptreeopt.tree.PTree object at 0x15552821a700>
 <ptreeopt.tree.PTree object at 0x15552821a970>
 <ptreeopt.tree.PTree object at 0x15552821aa30>]",7,0,10,3,10
1500,8,0.8,"[<ptreeopt.tree.PTree object at 0x15552821a700>
 <ptreeopt.tree.PTree object at 0x15552821a970>
 <ptreeopt.tree.PTree object at 0x15552821aa30>]",7,0,10,3,10
1600,9,0.8,"[<ptreeopt.tree.PTree object at 0x15552821a700>
 <ptreeopt.tree.PTree object at 0x15552821a970>
 <ptreeopt.tree.PTree object at 0x15552821aa30>]",7,0,10,3,10
1700,10,0.77,"[<ptreeopt.tree.PTree object at 0x1555283f0c40>
 <ptreeopt.tree.PTree object at 0x1555283f0640>
 <ptreeopt.tree.PTree object at 0x1555283f0760>]",7,0,10,3,10
1800,10,0.77,"[<ptreeopt.tree.PTree object at 0x1555283f0c40>
 <ptreeopt.tree.PTree object at 0x1555283f0640>
 <ptreeopt.tree.PTree object at 0x1555283f0760>]",7,0,10,3,10
1900,11,0.77,"[<ptreeopt.tree.PTree object at 0x1555283f0c40>
 <ptreeopt.tree.PTree object at 0x1555283f0640>
 <ptreeopt.tree.PTree object at 0x1555283f0760>]",7,0,10,3,10
2000,11,0.77,"[<ptreeopt.tree.PTree object at 0x1555283f0c40>
 <ptreeopt.tree.PTree object at 0x1555283f0640>
 <ptreeopt.tree.PTree object at 0x1555283f0760>]",7,0,10,3,10
2100,12,0.77,"[<ptreeopt.tree.PTree object at 0x1555283f0c40>
 <ptreeopt.tree.PTree object at 0x1555283f0640>
 <ptreeopt.tree.PTree object at 0x1555283f0760>]",7,0,10,3,10
2200,13,0.77,"[<ptreeopt.tree.PTree object at 0x1555283f0c40>
 <ptreeopt.tree.PTree object at 0x1555283f0640>
 <ptreeopt.tree.PTree object at 0x1555283f0760>]",7,0,10,3,10
2300,13,0.77,"[<ptreeopt.tree.PTree object at 0x1555283f0c40>
 <ptreeopt.tree.PTree object at 0x1555283f0640>
 <ptreeopt.tree.PTree object at 0x1555283f0760>]",7,0,10,3,10
2400,14,0.77,"[<ptreeopt.tree.PTree object at 0x1555283f0c40>
 <ptreeopt.tree.PTree object at 0x1555283f0640>
 <ptreeopt.tree.PTree object at 0x1555283f0760>]",7,0,10,3,10
2500,14,0.77,"[<ptreeopt.tree.PTree object at 0x1555283f0c40>
 <ptreeopt.tree.PTree object at 0x1555283f0640>
 <ptreeopt.tree.PTree object at 0x1555283f0760>]",7,0,10,3,10
2600,15,0.77,"[<ptreeopt.tree.PTree object at 0x1555283f0c40>
 <ptreeopt.tree.PTree object at 0x1555283f0640>
 <ptreeopt.tree.PTree object at 0x1555283f0760>]",7,0,10,3,10
2700,15,0.77,"[<ptreeopt.tree.PTree object at 0x1555283f0c40>
 <ptreeopt.tree.PTree object at 0x1555283f0640>
 <ptreeopt.tree.PTree object at 0x1555283f0760>]",7,0,10,3,10
2800,16,0.77,"[<ptreeopt.tree.PTree object at 0x1555283f0c40>
 <ptreeopt.tree.PTree object at 0x1555283f0640>
 <ptreeopt.tree.PTree object at 0x1555283f0760>]",7,0,10,3,10
