nfe,time,best_f,best_P,instance,seed,manhattan_diam,num_units,num_sensors
100,3,0.76,"[<ptreeopt.tree.PTree object at 0x1555283aed00>
 <ptreeopt.tree.PTree object at 0x1555283ae100>
 <ptreeopt.tree.PTree object at 0x1555281bbac0>
 <ptreeopt.tree.PTree object at 0x1555281bb970>
 <ptreeopt.tree.PTree object at 0x1555281bb880>
 <ptreeopt.tree.PTree object at 0x1555281bbbb0>
 <ptreeopt.tree.PTree object at 0x1555281bb400>
 <ptreeopt.tree.PTree object at 0x1555281bb9d0>
 <ptreeopt.tree.PTree object at 0x1555281bb520>
 <ptreeopt.tree.PTree object at 0x155528262c10>]",3,0,10,10,10
200,7,0.76,"[<ptreeopt.tree.PTree object at 0x1555283aed00>
 <ptreeopt.tree.PTree object at 0x1555283ae100>
 <ptreeopt.tree.PTree object at 0x1555281bbac0>
 <ptreeopt.tree.PTree object at 0x1555281bb970>
 <ptreeopt.tree.PTree object at 0x1555281bb880>
 <ptreeopt.tree.PTree object at 0x1555281bbbb0>
 <ptreeopt.tree.PTree object at 0x1555281bb400>
 <ptreeopt.tree.PTree object at 0x1555281bb9d0>
 <ptreeopt.tree.PTree object at 0x1555281bb520>
 <ptreeopt.tree.PTree object at 0x155528262c10>]",3,0,10,10,10
300,10,0.76,"[<ptreeopt.tree.PTree object at 0x1555283aed00>
 <ptreeopt.tree.PTree object at 0x1555283ae100>
 <ptreeopt.tree.PTree object at 0x1555281bbac0>
 <ptreeopt.tree.PTree object at 0x1555281bb970>
 <ptreeopt.tree.PTree object at 0x1555281bb880>
 <ptreeopt.tree.PTree object at 0x1555281bbbb0>
 <ptreeopt.tree.PTree object at 0x1555281bb400>
 <ptreeopt.tree.PTree object at 0x1555281bb9d0>
 <ptreeopt.tree.PTree object at 0x1555281bb520>
 <ptreeopt.tree.PTree object at 0x155528262c10>]",3,0,10,10,10
400,14,0.75,"[<ptreeopt.tree.PTree object at 0x1555280fae20>
 <ptreeopt.tree.PTree object at 0x1555280fab20>
 <ptreeopt.tree.PTree object at 0x155520d26910>
 <ptreeopt.tree.PTree object at 0x155520d266d0>
 <ptreeopt.tree.PTree object at 0x155520d26e80>
 <ptreeopt.tree.PTree object at 0x155520faddf0>
 <ptreeopt.tree.PTree object at 0x155520ef9940>
 <ptreeopt.tree.PTree object at 0x1555281d8820>
 <ptreeopt.tree.PTree object at 0x1555281d81c0>
 <ptreeopt.tree.PTree object at 0x1555281d85b0>]",3,0,10,10,10
500,17,0.75,"[<ptreeopt.tree.PTree object at 0x1555280fae20>
 <ptreeopt.tree.PTree object at 0x1555280fab20>
 <ptreeopt.tree.PTree object at 0x155520d26910>
 <ptreeopt.tree.PTree object at 0x155520d266d0>
 <ptreeopt.tree.PTree object at 0x155520d26e80>
 <ptreeopt.tree.PTree object at 0x155520faddf0>
 <ptreeopt.tree.PTree object at 0x155520ef9940>
 <ptreeopt.tree.PTree object at 0x1555281d8820>
 <ptreeopt.tree.PTree object at 0x1555281d81c0>
 <ptreeopt.tree.PTree object at 0x1555281d85b0>]",3,0,10,10,10
600,20,0.75,"[<ptreeopt.tree.PTree object at 0x1555280fae20>
 <ptreeopt.tree.PTree object at 0x1555280fab20>
 <ptreeopt.tree.PTree object at 0x155520d26910>
 <ptreeopt.tree.PTree object at 0x155520d266d0>
 <ptreeopt.tree.PTree object at 0x155520d26e80>
 <ptreeopt.tree.PTree object at 0x155520faddf0>
 <ptreeopt.tree.PTree object at 0x155520ef9940>
 <ptreeopt.tree.PTree object at 0x1555281d8820>
 <ptreeopt.tree.PTree object at 0x1555281d81c0>
 <ptreeopt.tree.PTree object at 0x1555281d85b0>]",3,0,10,10,10
700,24,0.75,"[<ptreeopt.tree.PTree object at 0x1555280fae20>
 <ptreeopt.tree.PTree object at 0x1555280fab20>
 <ptreeopt.tree.PTree object at 0x155520d26910>
 <ptreeopt.tree.PTree object at 0x155520d266d0>
 <ptreeopt.tree.PTree object at 0x155520d26e80>
 <ptreeopt.tree.PTree object at 0x155520faddf0>
 <ptreeopt.tree.PTree object at 0x155520ef9940>
 <ptreeopt.tree.PTree object at 0x1555281d8820>
 <ptreeopt.tree.PTree object at 0x1555281d81c0>
 <ptreeopt.tree.PTree object at 0x1555281d85b0>]",3,0,10,10,10
800,27,0.7,"[<ptreeopt.tree.PTree object at 0x155520d596a0>
 <ptreeopt.tree.PTree object at 0x155520bc2b20>
 <ptreeopt.tree.PTree object at 0x155520d59640>
 <ptreeopt.tree.PTree object at 0x155520d595b0>
 <ptreeopt.tree.PTree object at 0x155520d59340>
 <ptreeopt.tree.PTree object at 0x1555281350d0>
 <ptreeopt.tree.PTree object at 0x155520d590d0>
 <ptreeopt.tree.PTree object at 0x1555282cfbb0>
 <ptreeopt.tree.PTree object at 0x1555280ce460>
 <ptreeopt.tree.PTree object at 0x1555280ce220>]",3,0,10,10,10
900,31,0.7,"[<ptreeopt.tree.PTree object at 0x155520d596a0>
 <ptreeopt.tree.PTree object at 0x155520bc2b20>
 <ptreeopt.tree.PTree object at 0x155520d59640>
 <ptreeopt.tree.PTree object at 0x155520d595b0>
 <ptreeopt.tree.PTree object at 0x155520d59340>
 <ptreeopt.tree.PTree object at 0x1555281350d0>
 <ptreeopt.tree.PTree object at 0x155520d590d0>
 <ptreeopt.tree.PTree object at 0x1555282cfbb0>
 <ptreeopt.tree.PTree object at 0x1555280ce460>
 <ptreeopt.tree.PTree object at 0x1555280ce220>]",3,0,10,10,10
1000,34,0.7,"[<ptreeopt.tree.PTree object at 0x155520d596a0>
 <ptreeopt.tree.PTree object at 0x155520bc2b20>
 <ptreeopt.tree.PTree object at 0x155520d59640>
 <ptreeopt.tree.PTree object at 0x155520d595b0>
 <ptreeopt.tree.PTree object at 0x155520d59340>
 <ptreeopt.tree.PTree object at 0x1555281350d0>
 <ptreeopt.tree.PTree object at 0x155520d590d0>
 <ptreeopt.tree.PTree object at 0x1555282cfbb0>
 <ptreeopt.tree.PTree object at 0x1555280ce460>
 <ptreeopt.tree.PTree object at 0x1555280ce220>]",3,0,10,10,10
