nfe,time,best_f,best_P,instance,seed,manhattan_diam,num_units,num_sensors
100,3,0.93,"[<ptreeopt.tree.PTree object at 0x1555281e1730>
 <ptreeopt.tree.PTree object at 0x1555280cca30>
 <ptreeopt.tree.PTree object at 0x1555280cc370>]",7,0,30,3,3
200,8,0.93,"[<ptreeopt.tree.PTree object at 0x1555281e1730>
 <ptreeopt.tree.PTree object at 0x1555280cca30>
 <ptreeopt.tree.PTree object at 0x1555280cc370>]",7,0,30,3,3
300,13,0.93,"[<ptreeopt.tree.PTree object at 0x1555281e1730>
 <ptreeopt.tree.PTree object at 0x1555280cca30>
 <ptreeopt.tree.PTree object at 0x1555280cc370>]",7,0,30,3,3
400,18,0.92,"[<ptreeopt.tree.PTree object at 0x155528215ee0>
 <ptreeopt.tree.PTree object at 0x155528215340>
 <ptreeopt.tree.PTree object at 0x155528215d90>]",7,0,30,3,3
500,23,0.92,"[<ptreeopt.tree.PTree object at 0x155528215ee0>
 <ptreeopt.tree.PTree object at 0x155528215340>
 <ptreeopt.tree.PTree object at 0x155528215d90>]",7,0,30,3,3
600,28,0.92,"[<ptreeopt.tree.PTree object at 0x155528215ee0>
 <ptreeopt.tree.PTree object at 0x155528215340>
 <ptreeopt.tree.PTree object at 0x155528215d90>]",7,0,30,3,3
700,32,0.91,"[<ptreeopt.tree.PTree object at 0x155528365e80>
 <ptreeopt.tree.PTree object at 0x155528365d60>
 <ptreeopt.tree.PTree object at 0x15552832e5e0>]",7,0,30,3,3
800,37,0.91,"[<ptreeopt.tree.PTree object at 0x155528365e80>
 <ptreeopt.tree.PTree object at 0x155528365d60>
 <ptreeopt.tree.PTree object at 0x15552832e5e0>]",7,0,30,3,3
900,41,0.91,"[<ptreeopt.tree.PTree object at 0x155528365e80>
 <ptreeopt.tree.PTree object at 0x155528365d60>
 <ptreeopt.tree.PTree object at 0x15552832e5e0>]",7,0,30,3,3
1000,46,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
1100,50,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
1200,55,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
1300,59,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
1400,64,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
1500,69,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
1600,74,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
1700,78,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
1800,83,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
1900,88,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
2000,93,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
2100,98,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
2200,103,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
2300,107,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
2400,112,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
2500,118,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
2600,123,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
2700,128,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
2800,132,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
2900,136,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
3000,141,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
3100,146,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
3200,151,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
3300,155,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
3400,159,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
3500,164,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
3600,169,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
3700,174,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
3800,179,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
3900,183,0.9,"[<ptreeopt.tree.PTree object at 0x1555283f2bb0>
 <ptreeopt.tree.PTree object at 0x1555283f2310>
 <ptreeopt.tree.PTree object at 0x1555286a9250>]",7,0,30,3,3
4000,188,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
4100,193,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
4200,199,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
4300,203,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
4400,208,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
4500,214,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
4600,218,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
4700,222,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
4800,226,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
4900,231,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
5000,235,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
5100,240,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
5200,245,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
5300,249,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
5400,254,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
5500,259,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
5600,264,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
5700,268,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
5800,273,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
5900,279,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
6000,283,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
6100,288,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
6200,292,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
6300,297,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
6400,302,0.89,"[<ptreeopt.tree.PTree object at 0x155528698a90>
 <ptreeopt.tree.PTree object at 0x15552827b100>
 <ptreeopt.tree.PTree object at 0x15552827b700>]",7,0,30,3,3
